seed_id,track,pack_id,pack_title,batch,template_id,seed_prompt_anchor,canonical_question_id,variant_group_id,transfer_item_id,primary_attr,secondary_attr,recommendation_pack
EXP-022,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive rec small-small then river big lead when flush lands,CQ-EXP-022,VG-EXP-022,TR-EXP-022,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
EXP-023,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive player check-raises turn broadway card after sticky flop call,CQ-EXP-023,VG-EXP-023,TR-EXP-023,wrong_target,failed_to_identify_passive_strength,exploit_vs_passive_strength
EXP-024,exploit,exploit_respect_passive_strength,尊重被动玩家后程发力,batch_1_foundation,EXP-T3,Passive limp-caller arrives river with sudden large lead after missed front draw,CQ-EXP-024,VG-EXP-024,TR-EXP-024,false_exploit,failed_to_identify_passive_strength,exploit_vs_passive_strength
LR-001,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,BTN c-bets A72r and BB calls,CQ-LR-001,VG-LR-001,TR-LR-001,range_not_narrowed,ignore_showdown_value_retention,line_range_flop_narrowing
LR-002,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,CO c-bets K83r and BB calls,CQ-LR-002,VG-LR-002,TR-LR-002,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing
LR-003,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,3bet pot A-high dry flop gets called,CQ-LR-003,VG-LR-003,TR-LR-003,range_not_narrowed,misread_capped_range,line_range_flop_narrowing
LR-004,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,Paired dry flop bet-call after preflop call,CQ-LR-004,VG-LR-004,TR-LR-004,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing
LR-005,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,Passive rec calls small cbet on Q72r,CQ-LR-005,VG-LR-005,TR-LR-005,range_not_narrowed,failed_to_identify_passive_strength,line_range_flop_narrowing
LR-006,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,Overfolder still chooses to call on A-high dry flop,CQ-LR-006,VG-LR-006,TR-LR-006,range_over_narrowed,misread_capped_range,line_range_flop_narrowing
LR-007,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,Station calls flop on K-high dry board,CQ-LR-007,VG-LR-007,TR-LR-007,villain_density_misread,overestimate_bluff_density,line_range_flop_narrowing
LR-008,line_range,line_range_flop_call_narrowing_high_dry,高张干燥面flop跟注后怎么缩窄,batch_1_foundation,LR-T1,Hero c-bets A-high dry and gets called,CQ-LR-008,VG-LR-008,TR-LR-008,future_street_disconnect,overestimate_bluff_density,line_range_turn_density
LR-017,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,High-card dry flop call then blank turn,CQ-LR-017,VG-LR-017,TR-LR-017,villain_density_misread,overestimate_bluff_density,line_range_turn_density
LR-018,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,Scare overcard turn after wet flop call,CQ-LR-018,VG-LR-018,TR-LR-018,villain_density_misread,ignore_draw_retention,line_range_turn_density
LR-019,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,Front flush completes after flop call,CQ-LR-019,VG-LR-019,TR-LR-019,villain_density_misread,misread_polarization,line_range_turn_density
LR-020,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,3bet pot A-high flop call then blank turn,CQ-LR-020,VG-LR-020,TR-LR-020,future_street_disconnect,overestimate_bluff_density,line_range_turn_density
LR-021,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,Passive rec calls flop then broadway turn falls,CQ-LR-021,VG-LR-021,TR-LR-021,villain_density_misread,failed_to_identify_passive_strength,line_range_river_bluffcatch_density
LR-022,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,Station calls flop on wet board and blank turn lands,CQ-LR-022,VG-LR-022,TR-LR-022,range_not_narrowed,overestimate_bluff_density,line_range_turn_density
LR-023,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,Multiway flop call-call then blank turn,CQ-LR-023,VG-LR-023,TR-LR-023,villain_density_misread,underestimate_value_density,line_range_multiway_collapse
LR-024,line_range,line_range_turn_barrel_density,第二枪前后看密度,batch_1_foundation,LR-T2,Overfolder pool sees scare turn after flop call,CQ-LR-024,VG-LR-024,TR-LR-024,future_street_disconnect,misread_capped_range,line_range_turn_density
LR-033,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,"Flop cbet call, turn check-through, villain probes river",CQ-LR-033,VG-LR-033,TR-LR-033,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density
LR-034,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,Turn checks through and flush completes on river with probe,CQ-LR-034,VG-LR-034,TR-LR-034,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density
LR-035,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,Passive rec probes river after turn check-through,CQ-LR-035,VG-LR-035,TR-LR-035,villain_density_misread,failed_to_identify_passive_strength,line_range_river_bluffcatch_density
LR-036,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,Reg probes scary river after flop call turn check-through,CQ-LR-036,VG-LR-036,TR-LR-036,villain_density_misread,misread_polarization,line_range_river_bluffcatch_density
LR-037,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,Multiway turn checks through then one player probes river,CQ-LR-037,VG-LR-037,TR-LR-037,villain_density_misread,underestimate_value_density,line_range_multiway_collapse
LR-038,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,Station probes river small after two checks,CQ-LR-038,VG-LR-038,TR-LR-038,range_over_narrowed,ignore_showdown_value_retention,line_range_river_bluffcatch_density
LR-039,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,3bet pot turn checks through and OOP probes river,CQ-LR-039,VG-LR-039,TR-LR-039,villain_density_misread,underestimate_value_density,line_range_river_bluffcatch_density
LR-040,line_range,line_range_river_probe_density,river probe后value还是bluff更多,batch_1_foundation,LR-T3,Overfolder pool probes paired river after turn check-through,CQ-LR-040,VG-LR-040,TR-LR-040,future_street_disconnect,misread_polarization,line_range_river_bluffcatch_density
